,index,prices,streets,cities,floors,sizes,terraces,floors_in_building,parkings,aircondition,bars,elevators,water_headers,accessibility,shelters,renovated,storages,tadiran,furnitures,status,time_enter,sea_view,sukka
183,184,"1,935,000 ₪",נווה יעקב מפה,"דירה, נווה יעקב, ירושלים",10,72,"מרפסות
1","קומות בבנין
14","חניות
1",0,0,0,0,0,0,0,0,0,0,"מצב הנכס
חדש מקבלן","תאריך כניסה
לא צוין תאריך כניסה",0,1
184,185,"1,890,000 ₪",הגננת מפה,"דירה, גילה, ירושלים",3,75,"מרפסות
1","קומות בבנין
4","חניות
ללא",1,1,0,0,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
לא צוין תאריך כניסה",0,1
185,186,לא צוין מחיר,ירושלים מפה,"דירה, ירושלים",2,78,"מרפסות
1","קומות בבנין
6","חניות
1",1,1,1,0,1,1,0,1,0,0,"מצב הנכס
חדש מקבלן","תאריך כניסה
לא צוין תאריך כניסה",0,0
186,187,"3,620,000 ₪",קרית הלאום מפה,"דירה, קרית הלאום, ירושלים",4,80,"מרפסות
1","קומות בבנין
6","חניות
1",1,0,1,1,1,1,1,1,0,0,"מצב הנכס
חדש מקבלן","תאריך כניסה
כניסה מיידית",0,0
187,188,"1,780,000 ₪",ורדינון מפה,"דירה, גילה, ירושלים",1,65,"מרפסות
2","קומות בבנין
4","חניות
ללא",1,1,0,1,0,0,0,0,1,0,"מצב הנכס
במצב שמור","תאריך כניסה
לא צוין תאריך כניסה",0,0
188,189,"1,720,000 ₪",אריה בן אליעזר מפה,"דירה, גילה, ירושלים",קרקע,60,none,"קומות בבנין
4","חניות
ללא",1,0,0,1,0,0,0,1,0,1,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0
189,190,"2,650,000 ₪",מעגלי יבנה מפה,"דירה, קטמונים, ירושלים",3,60,"מרפסות
1","קומות בבנין
3","חניות
ללא",1,1,0,1,0,0,1,0,1,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0
190,191,"1,880,000 ₪",ירושלים מפה,"דירה, ירושלים",3,62,none,"קומות בבנין
4","חניות
ללא",1,1,0,1,0,0,1,1,1,1,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0
191,192,"1,930,000 ₪",גילה מפה,"דירה, גילה, ירושלים",1,70,"מרפסות
1","קומות בבנין
3","חניות
ללא",1,1,0,1,0,0,1,1,1,0,"מצב הנכס
משופץ","תאריך כניסה
לא צוין תאריך כניסה",0,1
192,193,"1,980,000 ₪",יפה רום מפה,"דירה, גילה, ירושלים",1,55,"מרפסות
1","קומות בבנין
3","חניות
ללא",1,1,1,1,0,1,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0
193,194,"1,880,000 ₪","ארמון הנציב, תלפיות מזרח מפה","דירה, ארמון הנציב, תלפיות מזרח, ירושלים",2,65,none,"קומות בבנין
4","חניות
ללא",0,0,0,0,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
לא צוין תאריך כניסה",0,0
194,195,"3,150,000 ₪","בית הכרם, רמת בית הכרם מפה","דירה, בית הכרם, רמת בית הכרם, ירושלים",3,70,"מרפסות
1","קומות בבנין
4","חניות
1",1,1,1,1,1,1,1,1,1,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0
195,196,"2,300,000 ₪",שמחה הולצברג מפה,"דירה, פסגת זאב, ירושלים",2,75,none,"קומות בבנין
4","חניות
1",1,1,1,1,1,1,0,1,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0
196,197,"3,600,000 ₪",הרב חיים ברלין מפה,"דירה, קרית שמואל, ירושלים",3,75,"מרפסות
1","קומות בבנין
4","חניות
ללא",1,1,1,0,1,1,0,0,0,0,"מצב הנכס
חדש מקבלן","תאריך כניסה
כניסה מיידית",0,1
197,198,"1,880,000 ₪",משה ברזני 301 מפה,"דירה, ארמון הנציב, תלפיות מזרח, ירושלים",2,65,none,"קומות בבנין
3","חניות
ללא",0,0,0,1,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0
198,199,"1,930,000 ₪",הסיירת הירושלמית 34 מפה,"דירה, פסגת זאב, ירושלים",3,61,none,"קומות בבנין
3","חניות
ללא",0,0,0,0,0,0,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0
